Named_Entity,Type
Ye,PERSON
the Land of the Red Wizards,ORG
Thayd,GPE
Szass Tam,PERSON
Thay,ORG
Thayan,GPE
ye’d,ORG
Inner Sea,LOC
Aglarond,LOC
Vilhon,ORG
Murghфm,ORG
Semphar,ORG
Mulhorand,ORG
Unther,GPE
Red Wizards,ORG
Kossuth,GPE
Antur,PERSON
KOSSUTH,ORG
Thorass,ORG
ye’ll,ORG
Mystra,PERSON
Eltabbar,ORG
Thaymount,GPE
Volo,ORG
W 4 F﻿Foreword,PRODUCT
the Sunrise Mountains,LOC
the Sunset Mountains,LOC
the Whispering Ghost,WORK_OF_ART
Qulone Trythkul,PERSON
Szass Tam’s,PERSON
Tam,PERSON
Qulone,ORG
Bezantur,GPE
"Mystra, Elminster of Shadowdale",ORG
The People of Thay,WORK_OF_ART
Chauntea,ORG
Gond,PERSON
Waukeen,PERSON
Mulhorandi,ORG
Mulani,ORG
Mulani Thayans,PERSON
a Mulani Thayan,PERSON
Art,PERSON
Zulkirs,PERSON
Thaen,ORG
Cathyl,GPE
Iryleian,GPE
Valakkar,ORG
Thayan Rashemi,ORG
Council of Zulkirs,ORG
the Council of Zulkirs,ORG
High Regent Szass Tam,ORG
the High Regent,LOC
Faerыn,ORG
Gift,ORG
supreme authority,ORG
Council,ORG
Zulkir,PERSON
The Red Wizards,ORG
The Thayan View All Thayans,WORK_OF_ART
Common Thayan,PERSON
the Red Land’s,LOC
Rarthaek,PERSON
Dusult,WORK_OF_ART
Phalou,PERSON
talang,GPE
Nethjet,ORG
Upscale Meals Signature,PRODUCT
Fireturtle,ORG
Gulhaunt,PERSON
Anathur,PERSON
Everyday Meals More,ORG
Pepper,ORG
Taeth Serves 4,ORG
the Endless Wastes,ORG
the Plains of Purple Dust,ORG
Mulmaster to Baldur’s Gate,PERSON
Waterdeep,ORG
Nobles,ORG
Thay Mineral,LOC
a Council of Zulkirs,ORG
Szass,PERSON
The Red Wizards of Thay,ORG
Red Wizard,ORG
the Red Wizards,ORG
Sembia,ORG
Zhentarim,ORG
the War Wizards of Cormyr,ORG
Dove Falconhand,PRODUCT
Luskan,PERSON
the Blood-Robes,WORK_OF_ART
Neverwinter,ORG
Farlo Dethremmon,PERSON
Shadows Lane,PERSON
Southbank,ORG
the Realms Thay,PERSON
Faerun,ORG
Wychlaran,PERSON
Laraer Laraer,PERSON
lahr-AIR,WORK_OF_ART
laraer,PERSON
Spellplague,PERSON
Harpers,GPE
Emerald Enclave,GPE
Cold War Szass Tam,EVENT
Thay Truly,WORK_OF_ART
Laraer,PERSON
Mulmaster,GPE
zulkirs,ORG
Ma,PERSON
Larloch,PERSON
Sirikhan,GPE
Shou,PERSON
Kara-Tur,PERSON
DDAL-DRW05 Uncertain Scrutiny,ORG
Conjuration Saj Amog,PERSON
Valindra Shadowmantle,PERSON
Saj,PERSON
Saj Amog,PERSON
Samas Kul,ORG
Divination Yaphyll,PERSON
Mulan,PERSON
the council of zulkirs,ORG
Chult,ORG
Lauzoril,PERSON
Evocation M’Weru,PRODUCT
Alaor,PERSON
Hlarkus Baltreyo,PERSON
Hlarkus,ORG
Soulmonger,ORG
"Chult, Szass Tam",ORG
Valindra,PERSON
Tomb of Annihilation,WORK_OF_ART
Transmutation Samas Kul,PERSON
Samas,ORG
Candlekeep  History,ORG
the Red Wizards of Thay,ORG
Ulmarth Rendikho,GPE
Zulkir Dar’lon Ma of Mulmaster,PERSON
Artifice Lantan,PERSON
Isles,LOC
Lantanese,PRODUCT
Thayan Red Wizard,WORK_OF_ART
Empire of Netheril,ORG
Damond,PERSON
Dar’Lon Ma,ORG
The More Things Change… Dar’lon Ma,WORK_OF_ART
Thay Damond,PERSON
Moonsea,PERSON
the Dreams of the Red Wizards,WORK_OF_ART
Dar’lon,PERSON
the Council No Red Wizard,ORG
Dales,GPE
navy,ORG
the Thayan Knights,ORG
the Water Fist,WORK_OF_ART
the Current Military Ranks of Thay,ORG
Vardhond,PRODUCT
Autharch,ORG
Thay Thayan,PERSON
Thayan Army,ORG
the Plateau of Thay,LOC
Knights,ORG
Thayan Knight’s,PERSON
Thayan Knights,PERSON
Tharchions,ORG
Thayan Knight,PERSON
Knights Sigil/Dress,PERSON
Insignia Thayan Army,ORG
Turmish Irhrand Irtane Private Blade Sword Kelrhond Vaethrar,ORG
Telsword Avondas,PERSON
Swordcaptain Khortal Khortalhond,PERSON
Lionar Larvant Marahond,PERSON
Tantrar,ORG
Constal,PERSON
Oversword Ondaggar,PERSON
Battlemaster Tavalant,PERSON
The Water Fist,WORK_OF_ART
The Wave Serpents,WORK_OF_ART
Alaor’s Tharchion,ORG
the Thayan Navy,ORG
the Sea of Fallen Stars,LOC
the Sea of Swords,LOC
the Sword Coast,LOC
Zhengyi,PERSON
The Water Fist Sigil/Dress,ORG
The Probity Corps,ORG
Probity Corps,ORG
the Probity Corps,ORG
The Probity Corps Sigil/Dress:,ORG
Corps,ORG
the Probity Corp,ORG
the “Inquisitor Superior,ORG
Thay Probity Corps,ORG
Sigil Thayan,PERSON
Red Wizard Compounds,ORG
the Red Wizard’s,ORG
VOR,ORG
Athora,PERSON
the Nether Scrolls,ORG
Assikhath,ORG
DR,GPE
the Docks of Thay Alaor,ORG
Al-LAY-oar,PERSON
Uldroud Harlrammon,PERSON
Thayan Knights Commerce: Imports,ORG
Istishia,PERSON
Umberlee,PERSON
the Alamber Sea,LOC
Alaoran,GPE
Raeldreth,WORK_OF_ART
Underdark,ORG
Thund Greatharbor Anchorage,PERSON
Orjehet,GPE
Kraken,ORG
inn,GPE
Havandrar,ORG
Harlrammon,PERSON
mar Thay,PERSON
Drood,ORG
Westgate,GPE
Daej,GPE
Proud Rule of the Waves,WORK_OF_ART
Arauntra Taelthoun,PERSON
Thayan Knights Commerce: Agriculture,ORG
Nesharia,PERSON
Nephthys,PERSON
Osiris,ORG
Gauros,PERSON
Ranchland,ORG
Delhumide,WORK_OF_ART
Umratharos,GPE
Aranuntra,PERSON
Thaumaund,LOC
Might of Making,WORK_OF_ART
the Wealth of Thay Eltabbar,ORG
Aumaund Halakoun,PERSON
Thayan Knights Commerce: Caravan,ORG
Helcaliant,PERSON
Tabar,ORG
Daerath Market,PERSON
Daerath,PERSON
Pheldanther,ORG
Inn,GPE
Aumaund Halarkoun Aumaund’s,PERSON
Haelaedra Kren,PERSON
Gebthant,PERSON
Geb,PERSON
Malar,PERSON
Ramathant,PERSON
Anhur,GPE
Sebethant,PERSON
Gorge,LOC
Surthay,PERSON
the Falcon Fang,WORK_OF_ART
Gauros Keep,PERSON
The Quiet Claws,WORK_OF_ART
Keep,ORG
Denzar,PERSON
Hunting Haelaedra,LOC
Konthaunt,ORG
Haelaedra Kren Bond,PERSON
the Pulse of Thay Lapendrar,ORG
Lah-PEN-drarr,WORK_OF_ART
Dathace Yamraharr,PERSON
Corps of Thayan Knights Commerce,ORG
Isharia,PERSON
Isis,ORG
Shiallia Laprendar,PERSON
Nethentir,GPE
the Probity Corps’,ORG
Neth,PERSON
Lapendrar,GPE
the Szass Tam,ORG
Dathace Yamraharr Dathace Yamraharr,PERSON
Sword Coast,LOC
Parommul,ORG
Great Bounty,GPE
Priador,ORG
the Jewel of Thay Priador,PERSON
PREE-ah-,WORK_OF_ART
Thayan Knights Commerce,ORG
Valkur,PERSON
Waukeen Priador,PERSON
the Jewels of Thay,WORK_OF_ART
Anhaurz,GPE
Murbant,ORG
Thasselen,PERSON
Chessenta,GPE
Galauntowers,PERSON
Taerlvhond,ORG
Three Jewels,WORK_OF_ART
Jewels,WORK_OF_ART
Pyarados,ORG
Thay Pyarados,ORG
Ortraun Naumarkh,PERSON
Red Wizards’,ORG
bowers,PERSON
the Bright Heart,WORK_OF_ART
Ularth Haeraundor,PERSON
Grimshield,PERSON
Shield,ORG
Justice,ORG
Shielders,PERSON
Laumauntor,PERSON
Hurrkeep,ORG
Redfist Tower,PERSON
Rauntar,PRODUCT
the Muttering House,WORK_OF_ART
Ortraun Naumarkh’s,PERSON
Naumarkh,PERSON
Saarkatath,ORG
Red Fist,WORK_OF_ART
the Absence of Thay Surthay,PERSON
Azaelra Odesseiron,PERSON
Corps of Thayan Knights Commerce: Caravan,ORG
Helm,PERSON
Sebek,PRODUCT
Tempus,PERSON
the Plateau and,LOC
Lake Mulsantir,GPE
Westsulkh,PERSON
Surtowers,GPE
Westar,ORG
Surmarsh,GPE
Thesk,GPE
Duskur’s Cave,ORG
Plateau,LOC
Surthan,GPE
Azaelra,PERSON
Taerlvrath,PERSON
Three Strivings,WORK_OF_ART
Roleplaying Azaelra Odesseiron Bond,ORG
the Height of Thay Thaymount,ORG
Eldroun Myrantar,PERSON
Thayan Knights Commerce: Mining,ORG
Tholaunt,PERSON
Thoth,PERSON
High Thay,WORK_OF_ART
Eltar,LOC
Citadel,ORG
Doomvault,ORG
Red Wizard Kazit Gul,PERSON
the Fist of Gold,ORG
the Second Escarpment,LOC
Escarpment,LOC
Myrantar,PERSON
Eldroun,PERSON
Myrant the Tyrant,WORK_OF_ART
Thazalhar,ORG
the Future of Thay Thazalhar,ORG
THAZ,WORK_OF_ART
Yaelend Hulthroun,PERSON
Osirant,PERSON
the Battle of Thazalhar,EVENT
Eltab,PERSON
the Monster Prowl,WORK_OF_ART
Yaelend,PERSON
Hulthroun,ORG
Watchful Guardian,WORK_OF_ART
Elveirhyadra Haundor,PERSON
Thayan Knights Commerce: Exports,ORG
Religious Influences:,ORG
Hatharia (Hathor,PERSON
Shiallia,PERSON
Bazaedur,GPE
Tyraturos,ORG
Laheirauna Mraedros,PERSON
Kaunturs,ORG
Naravens,ORG
Paladreths,ORG
Yavaunds,PERSON
The Hall of Masks,ORG
Ankhur,PERSON
Delabear,GPE
the Ring of Wizards,ORG
Solzepar,GPE
The Hall of Masks The Hall of Masks,ORG
Toril,ORG
The Seer,WORK_OF_ART
Loom,ORG
The Ring of Wizards The Ring of Wizards,ORG
Ring,ORG
• Watch,ORG
• Trust,ORG
Haundor,ORG
Huraunmmul,LOC
Peerless Bounty,ORG
Roleplaying Elveirhyadra Haundor Bond,ORG
Shelmazra Hornwyntur,PERSON
Ang Harrad,ORG
Elminster,PERSON
Amaharthond,PERSON
Wuldragon Way,WORK_OF_ART
Sarruth,ORG
Raethruthond,LOC
Aunuth,PERSON
Amruthar,ORG
Uolauphant’s Ride,PERSON
Ralaunthral’s Wheel,ORG
Morlah,PERSON
Rhaena’s Manypetals,ORG
The House of Bane Triumphant,ORG
Alkauth,PERSON
Flagon,PERSON
Ordruu’s Welcome,ORG
Thantil’s Quaff,ORG
Bezorlun’s Board,ORG
Thantil,ORG
Bezantur The City of a Thousand Temples,GPE
Tasharaka,PERSON
Lorlurduin Lane,PERSON
Shavrath Street,ORG
the High Holy Way,LOC
Shavrath,PERSON
Lorlurduin,PERSON
"Bethandor’s Rugs, Tapestries",ORG
Bethandor,ORG
Taltyn,PERSON
redstone Haelhontorh ond (old,ORG
Sussavrel,ORG
House,ORG
Yaraetowers,ORG
Miklarra,PERSON
Thrammon,ORG
Belhrin,PERSON
Kauntlann,ORG
Thul Habbadar’s,PERSON
THOOL Habbah-dar,WORK_OF_ART
Arzarael,ORG
Dazzakhar,ORG
Touzoon,PERSON
The River Eel,WORK_OF_ART
Bane,PERSON
The House of The Black Hand,ORG
Bezantur  The Redheads,LOC
Luth Murleph’s Pride,PERSON
Miirathoyor’s Lane,PERSON
Kalvondrel,GPE
Szeltothur,PERSON
Rendrel’s Ride,ORG
Paeral,ORG
Lazzeyelar,GPE
Lane,PERSON
Ilkryn,ORG
Tabard on The Street of Murlanth’s Sorrows,ORG
The Six Platters,PRODUCT
Urtraunt Lane,ORG
Tranch,ORG
Folly,PERSON
Szult,PERSON
The Dark House of Tyranny,ORG
The Way of Arduskan,WORK_OF_ART
Escalant,PERSON
Chessentan,GPE
Newt,PERSON
Hulfaer,PERSON
Dartrumpet Way,PERSON
The Blood Blazon on Bottle Lane,WORK_OF_ART
Carousers,ORG
Helver’s Harpoon,PRODUCT
Calanna,GPE
Chance on The Way of The Wyverns,WORK_OF_ART
the Red Wizard,ORG
The Doors of the Black Lord,WORK_OF_ART
Tarthant,PERSON
City of Dirty Underhanded Smugglers,WORK_OF_ART
Setsethrar,ORG
Sakkandar,PERSON
Thisskim,ORG
Hardarmored Hippocampus Club,ORG
Uthscimitar Street,ORG
Nethembril Lane,ORG
Mrahout,PERSON
Rahanna,PERSON
The House of The Hand,ORG
Nethentan,ORG
Fanfare,ORG
Thylen,GPE
Ulmur,ORG
Salumandurlar,GPE
Stornpost,GPE
Belvadarnra’s Haven,ORG
Floon,ORG
Fireflagon,PERSON
The Raging Raumathari,WORK_OF_ART
Ulkur,ORG
The Wizard Was Wandering,WORK_OF_ART
Rothzauna’s Choice,ORG
Thaphonter,PERSON
Pulkoon,EVENT
Dlaezur,PERSON
The Dancing Duthdragon tavern,WORK_OF_ART
Brenlaur,PERSON
Hazul Lane,PERSON
Yulraph,PERSON
Undred,PERSON
Ungalast,ORG
Fine Cauldron,WORK_OF_ART
Balandur,PERSON
Ettin,ORG
Velkroon,GPE
Toranadur,PERSON
The Happy Gallop,WORK_OF_ART
Lorvyn’s Lane,ORG
Elminster of Shadowdale,PERSON
quill boxes,ORG
Jetran,GPE
the Inner Sea,LOC
Thelvurt,ORG
The Crab Platter on Chanzult Street,WORK_OF_ART
Duthengo,PERSON
Havalar,PERSON
Lhaerivro,PERSON
Maskadder Lane,PERSON
Multraer,PERSON
the Wayserpent Ride,LOC
Barsykkur,ORG
Maersakkhan Lane,PERSON
Umberside,ORG
"Bane, Talondoors House",ORG
the Eastern Way,LOC
Draevyn,ORG
Harhethur,GPE
Harl’s Hothearth,LOC
Mlendil Lane,PERSON
Beldur,PERSON
Boar House,ORG
Hothearth,LOC
the Boar House,ORG
Istyn Orlaudhvar of Istyn’s Conveyances on Irburl Lane,ORG
Orlaudros Hlyvvyn,PERSON
Skarth,PERSON
Arkhuld’s Neck,ORG
Dragontail Way,PERSON
Forthyn,ORG
Oddskull,ORG
The House of the Tyrant,ORG
Mountainride,PERSON
Belathond,ORG
Belizir,GPE
Zelzora,PERSON
Alavrandur,PERSON
Avalae,GPE
Raised Goblet,PERSON
Tethlizard Lane,ORG
Lhyzlyn Luzkund,PERSON
Goblet,PRODUCT
Dyzcindra Mahlout,ORG
Svandyn Havandhar,PERSON
The Towers of the Tyrant,WORK_OF_ART
Vauntreth Street,ORG
True Surthay,WORK_OF_ART
Aemathond,PERSON
Mulsantir,PERSON
Tshamaura,ORG
Tash,PERSON
The Pride of Surthay,WORK_OF_ART
Hlantur Ozurlur,PERSON
Bazhandur Omlarent,ORG
Foregate,GPE
The Black Lord’s Door,WORK_OF_ART
The Way of the Wizard,WORK_OF_ART
Helra,PERSON
Taumalaer,PERSON
Waybanners Way,WORK_OF_ART
Paerathond,PERSON
Waybanners,PERSON
The Soaring Wyvern,ORG
Rozaerl,LOC
Morkalyn,ORG
The Hunting Horn,WORK_OF_ART
Skorel,PERSON
Ulvur Gokont,PERSON
Gokont,PERSON
Szul,GPE
Umur Glaskyn,PERSON
Glaskyn’s Guiding,ORG
Ostryn Phandror of Phandror’s,PERSON
Bane’s Dark,ORG
the Ang Harrad,WORK_OF_ART
Thasselens,ORG
Hathkongh,GPE
Belabront,GPE
Boy Riding Goat,PERSON
Borel’s Flagon,ORG
Deldusk Lane,ORG
Ammanastra,PERSON
Ilkus Bhandras,PERSON
Azalyn Uldryth,PERSON
Delnym Lane,PERSON
Blackbanners House,ORG
The Happy Horned Dragon,WORK_OF_ART
Nlouvryn Lane,PERSON
Mulsymm’s Bower,PERSON
The Stag Skull Laughs,ORG
The Dazed Dragon Down,WORK_OF_ART
Ezeld Turraunt,PERSON
Ozol Vulkym,ORG
Dazant Yard,ORG
Oblur Dazant,PERSON
Vuldym Chazant of Chazant’s,PRODUCT
Castle,PERSON
Dondravur Lane,PERSON
the Way of Serpents,WORK_OF_ART
Malambrar,PERSON
Keluthar,ORG
Huthcloak Lane,PERSON
Daoloar,EVENT
Irkhann,PERSON
Dulkryn,PRODUCT
Thaeltharra’s,ORG
Shezluth Street,ORG
Yultora,PERSON
Halaunt’s Old Armor,ORG
Huzlepard Lane,PERSON
Urmratharos,PERSON
Orzil Thalont,PERSON
Thalont’s Fair Journeying,ORG
Toumurr Rhal,PERSON
Rhal’s Wise,ORG
Razh Ulmarrim,PERSON
Mnarlh Hazahr,PERSON
Hazahr,PERSON
Izla Mahantir,PERSON
Mahantir’s House of Coaches,ORG
The Black Flame of Bane,WORK_OF_ART
Onstran Street,ORG
Shar,GPE
Oghma,PERSON
Blackstaff,ORG
Intelligence,ORG
Weavebound,ORG
Red Robed,PERSON
Nystul,ORG
Mordenkainen,PERSON
Channel Divinity Options,ORG
Channel Divinity,ORG
+6,ORG
Arcana,PERSON
DC,GPE
Limited Immunity,ORG
sphinx,LOC
Weavebound Paladins Outside of Thay Weavebound,PERSON
Fire Absorption,ORG
Poison Breath,WORK_OF_ART
New Magic Option:,ORG
Netheril,ORG
The Practice of Circle Casting,ORG
The Red Wizard,ORG
Circle Casting &,ORG
Blasted Hellscape,WORK_OF_ART
The Effects of Circle Casting,ORG
Enhanced Destruction,ORG
Grant Advantage,PERSON
Raise DC,ORG
Circle of Duplication Prerequisite: Thayan,ORG
Blank Slate,ORG
Athletics,ORG
Location of Scars d6 Command 1 Across,ORG
Deep,WORK_OF_ART
Starbonded,PERSON
Skill,PERSON
The School of Sacrifice,ORG
mars,LOC
Tharchion,GPE
Tharchioness,GPE
"Athletics, Medicine, Perception, Survival Tool Proficiencies",ORG
The Final Command d6 Command 1,ORG
Van Richten’s,PERSON
Ravenloft,ORG
Skaerath Across Thay,PERSON
the Vilhon Reach,WORK_OF_ART
Lake of Steam,ORG
Chonzra Uday,PERSON
Harborsar Trading House,ORG
Old City Popular Thayan,ORG
Ahlund Baezr Desz,PERSON
Dess,WORK_OF_ART
Javvath Laed Laetamm,PERSON
Laetan,GPE
Lavvak Ohjo,PERSON
Tarou Tazza Yand,PERSON
Amma Apharra Baraed,PERSON
Faej Gazornra,PERSON
Phondra Taela,PERSON
Taelra Talgem,PERSON
Qinndur Ruz Skoum Talat,PERSON
Amru Azanth,PERSON
Hondur Hone Ilmram,PERSON
Kadorn Lorkhuul Meilor,PERSON
Morgast Nurmarl,ORG
Loxodon,GPE
Tharchions 15,PRODUCT
Goads,PERSON
Candlekeep,PERSON
Almarra Tethtar,PERSON
Almarra,ORG
Fey Creatures,PERSON
Feywild,ORG
Fey,PERSON
the Summer Queen,ORG
Goblinoids Goblins,PERSON
Star Spawn,PERSON
Kyuss,PERSON
Zulkir Dar’lon Ma,PERSON
fort,GPE
Bogmaw,GPE
hydra,GPE
Bogmaw Gargantuan,ORG
Perception 18 Languages — Challenge 12,ORG
— Hold Breath. Bogmaw,PERSON
Multiattack,PERSON
DC 18,EVENT
Perception 11 Languages — Challenge 1/2,PRODUCT
XP,ORG
the Cult of the Dragon,ORG
Cult,ORG
Befouled Breath Weapon,PERSON
Dual Nature,ORG
Wis +2,GPE
Perception 14 Languages,ORG
Poltergoat,ORG
Poltergoat Medium,ORG
Perception 10 Languages,PRODUCT
Challenge 2,PRODUCT
Incorporeal Movement,ORG
Sunlight Sensitivity,WORK_OF_ART
Wisdom (Perception,ORG
Melee Weapon Attack,PERSON
Prim Handor,ORG
the Capital City of,GPE
the Tharchion of Eltabbar,ORG
Aumaund Halarkoun,PERSON
Nurush Xamaroth,PERSON
Gafna Bilton,PERSON
Gafna,ORG
The Stone Wizard Positioned,ORG
Jago Xander,PERSON
Volo’s Guide to Monsters,ORG
The Stone Wizard,ORG
Lavas Gurza,PERSON
the Department of Sewer and Water in Eltabbar,ORG
Prim,ORG
