YEAR	NAMElast	NAMEfirst	BattingAverage	BattingAverageLAG1	CumulativeAverageLAG1
1960	Aaron	Hank	0.292	0.355	0.355
1961	Aaron	Hank	0.327	0.292	0.324
1962	Aaron	Hank	0.323	0.327	0.325
1963	Aaron	Hank	0.319	0.323	0.324
1964	Aaron	Hank	0.328	0.319	0.323
1965	Aaron	Hank	0.318	0.328	0.324
1966	Aaron	Hank	0.279	0.318	0.323
1967	Aaron	Hank	0.307	0.279	0.317
1968	Aaron	Hank	0.287	0.307	0.316
1969	Aaron	Hank	0.300	0.287	0.313
1970	Aaron	Hank	0.298	0.300	0.312
1971	Aaron	Hank	0.327	0.298	0.311
1972	Aaron	Hank	0.265	0.327	0.312
1999	Abreu	Bobby	0.335	0.312	0.293
2000	Abreu	Bobby	0.316	0.335	0.311
2001	Abreu	Bobby	0.289	0.316	0.313
2002	Abreu	Bobby	0.308	0.289	0.307
2003	Abreu	Bobby	0.300	0.308	0.307
2004	Abreu	Bobby	0.301	0.300	0.306
1965	Adair	Jerry	0.259	0.248	0.258
1966	Adair	Jerry	0.249	0.259	0.259
1967	Adair	Jerry	0.271	0.249	0.257
1960	Adcock	Joe	0.298	0.292	0.292
1961	Adcock	Joe	0.285	0.298	0.295
1967	Agee	Tommie	0.234	0.273	0.262
1970	Agee	Tommie	0.286	0.271	0.250
1971	Agee	Tommie	0.285	0.286	0.258
1972	Agee	Tommie	0.227	0.285	0.262
1983	Aikens	Willie	0.302	0.281	0.273
1998	Alfonzo	Edgardo	0.278	0.315	0.288
1999	Alfonzo	Edgardo	0.304	0.278	0.285
2000	Alfonzo	Edgardo	0.324	0.304	0.290
2001	Alfonzo	Edgardo	0.243	0.324	0.296
2002	Alfonzo	Edgardo	0.308	0.243	0.289
2003	Alfonzo	Edgardo	0.259	0.308	0.292
2004	Alfonzo	Edgardo	0.289	0.259	0.288
1963	Allen	Bernie	0.240	0.269	0.269
1965	Allen	Dick	0.302	0.318	0.317
1966	Allen	Dick	0.317	0.302	0.310
1967	Allen	Dick	0.307	0.317	0.312
1968	Allen	Dick	0.263	0.307	0.311
1969	Allen	Dick	0.288	0.263	0.302
1970	Allen	Dick	0.279	0.288	0.300
1971	Allen	Dick	0.295	0.279	0.297
1972	Allen	Dick	0.308	0.295	0.297
1975	Allen	Dick	0.233	0.301	0.299
1966	Alley	Gene	0.299	0.252	0.238
1967	Alley	Gene	0.287	0.299	0.264
1968	Alley	Gene	0.245	0.287	0.271
1960	Allison	Bob	0.251	0.261	0.261
1961	Allison	Bob	0.245	0.251	0.257
1962	Allison	Bob	0.266	0.245	0.253
1963	Allison	Bob	0.271	0.266	0.256
1964	Allison	Bob	0.287	0.271	0.259
1965	Allison	Bob	0.233	0.287	0.263
1968	Allison	Bob	0.247	0.258	0.258
1978	Almon	Bill	0.252	0.261	0.265
1989	Alomar	Roberto	0.295	0.266	0.266
1990	Alomar	Roberto	0.287	0.295	0.282
1991	Alomar	Roberto	0.295	0.287	0.283
1992	Alomar	Roberto	0.310	0.295	0.286
1993	Alomar	Roberto	0.326	0.310	0.291
1996	Alomar	Roberto	0.328	0.300	0.298
1997	Alomar	Roberto	0.333	0.328	0.302
1998	Alomar	Roberto	0.282	0.333	0.304
1999	Alomar	Roberto	0.323	0.282	0.302
2000	Alomar	Roberto	0.310	0.323	0.304
2001	Alomar	Roberto	0.336	0.310	0.304
2002	Alomar	Roberto	0.266	0.336	0.306
2003	Alomar	Roberto	0.258	0.266	0.304
1970	Alomar Sr.	Sandy	0.251	0.248	0.238
1971	Alomar Sr.	Sandy	0.260	0.251	0.243
1972	Alomar Sr.	Sandy	0.239	0.260	0.247
1973	Alomar Sr.	Sandy	0.238	0.239	0.246
1997	Alomar Jr.	Sandy	0.324	0.263	0.270
